finn_kode,tittel,pris,storrelse_kvm,pris_per_kvm,boligtype,kommune,lenke
429731360,Rakkestad - Praktisk leilighet med alt på et plan - Oppusingsobjekt.,1750000.0,51.0,34314.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=429731360
433211163,Lys og moderne 2-roms leilighet under oppgradering  - Lettstelt og praktisk - Sentral beliggenhet!,2600000.0,38.0,68421.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=433211163
432206151,"Ådalen gård i Rakkestad | 43 daa dyrket, 378,3 daa skog.Oppgradert våningshus, låve, bryggerhus, badstu-hus og vognskjul",5600000.0,101.0,55446.0,Annet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=432206151
429898208,Triangelgården - Lys og behagelig andelsleilighet med en praktisk planløsning og en sentral beliggenhet,2300000.0,99.0,23232.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=429898208
429730759,Rakkestad - Praktisk og moderne leilighet med alt på et plan. Stor solrik terrasse.,2100000.0,52.0,40385.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=429730759
427373441,Koselig enebolig med landlig beliggenhet i Østbygda. Solrik tomt. Velkommen på visning!,2650000.0,162.0,16358.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=427373441
415211480,Nyrenovert og moderne toppleilighet med heis - sentralt beliggende midt i Rakkestad sentrum!,2750000.0,53.0,51887.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=415211480
400956099,"Nyoppført, lettstelt leilighet midt i Rakkestad sentrum - Vestvendt balkong - Egen parkeringsplass",1575000.0,52.0,30288.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=400956099
449783875,HVALER / VESTERØY - Stor eiendom med potensiale - 23162 kvm - strandtomt - sentralt - bør sees!,6000000.0,131.0,45802.0,Enebolig,Hvaler,https://www.finn.nohttps://www.finn.no/realestate/homes/ad.html?finnkode=449783875
450467125,Enebolig på stor tomt i landlige omgivelser på Spjærøy. Kort vei til sjøen og båtplassen. Eiendommen trenger oppussing.,3900000.0,178.0,21910.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=450467125
408013231,"Utgårdskilen - Enebolig med bevarte elementer fra 1970-tallet og spennende potensial, omgitt av vakkert kystlandskap. Over 1,4 mål tomt",2890000.0,112.0,25804.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=408013231
369360200,"Løkkevika - Enebolig fra 2017 | 5 Soverom | Solrikt, og pent opparbeidet tomt | Nærhet til skjærgården | Idyllisk beliggenhet!",4900000.0,159.0,30818.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=369360200
401276997,Rød/Asmaløy - Perfekt familiebolig! Enebolig 4 sov og 2 bad - Nytt kjøkken (2025) - Dobbelgarasje - Gangavstand til skole/barnehage!,5990000.0,174.0,34425.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=401276997
432334528,Skjærhalden - Flott leilighet/enebolig i kjede over tre plan med lyse rom og høy standard | Solrike uteområder | Carport med 3 biler,7900000.0,182.0,43407.0,Leilighet,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=432334528
437784183,"Utgård- Vesterøy, Hvaler - Innbydende og moderne enebolig med alle oppholdsrom på ett plan - God standard - Flott anneks/hagestue og dobbelgarasje",6100000.0,167.0,36527.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=437784183
436805922,"Vikerhavn - Asmaløy, Hvaler - Romslig og høytliggende enebolig med flott sjøutsikt - Ca. 100 meter til friområde med badeplass",6900000.0,194.0,35567.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=436805922
437260666,"RØD/ASMALØY - Attraktiv familiebolig med god standard, åpen planløsning, solrike uteplasser og skogsutsikt. Mulighet for 4 soverom.",6000000.0,151.0,39735.0,Enebolig,Hvaler,https://www.finn.no/realestate/homes/ad.html?finnkode=437260666
